assignment_id,utilization_pct,assignment_confirmed,speed_kmph,telemetry_lat,telemetry_lon,telemetry_recorded_at,anomaly_type,anomaly_severity,anomaly_detected_at,driver_status,vehicle_id,plate_number,vehicle_capacity_kg,vehicle_current_lat,vehicle_current_lon,waypoints_json,total_distance_km,planned_arrival,actual_arrival_at,stop_sequence,shipment_id,origin_lat,origin_lon,dest_lat,dest_lon,shipment_weight_kg,shipment_priority,shipment_deadline,time_to_deadline_minutes
ASN_0015,100.0,f,31.3,16.140948,77.020445,2026-07-15 18:26:06+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,16.1276,77.024515,"[{""lat"": 10.858495, ""lon"": 76.992206}, {""lat"": 19.830111, ""lon"": 77.004799}, {""lat"": 28.587565, ""lon"": 77.079649}]",2328.73,2026-07-17 06:29:23+05:30,2026-07-17 06:44:16+05:30,1,SHIP_1015,10.892186,77.031204,28.60212,77.006398,7555,MEDIUM,2026-07-21 10:45:17+05:30,8179.172549133334
ASN_0015,100.0,f,33.7,27.431302,77.003249,2026-07-17 03:18:25+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,27.416886,76.999971,"[{""lat"": 10.858495, ""lon"": 76.992206}, {""lat"": 19.830111, ""lon"": 77.004799}, {""lat"": 28.587565, ""lon"": 77.079649}]",2328.73,2026-07-17 06:29:23+05:30,2026-07-17 06:44:16+05:30,2,SHIP_1015,10.892186,77.031204,28.60212,77.006398,7555,MEDIUM,2026-07-21 10:45:17+05:30,6206.859902533333
ASN_0015,100.0,f,56.9,28.519907,77.024451,2026-07-17 06:34:59+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,28.548198,77.033234,"[{""lat"": 10.858495, ""lon"": 76.992206}, {""lat"": 19.830111, ""lon"": 77.004799}, {""lat"": 28.587565, ""lon"": 77.079649}]",2328.73,2026-07-17 06:29:23+05:30,2026-07-17 06:44:16+05:30,3,SHIP_1015,10.892186,77.031204,28.60212,77.006398,7555,MEDIUM,2026-07-21 10:45:17+05:30,6010.289059600001
ASN_0055,83.9,t,62.3,16.434473,78.817589,2026-07-17 09:55:02+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,16.439672,78.81364,"[{""lat"": 17.369851, ""lon"": 78.464101}, {""lat"": 16.347904, ""lon"": 78.897297}, {""lat"": 15.26663, ""lon"": 79.353094}, {""lat"": 14.266953, ""lon"": 79.718973}, {""lat"": 13.110332, ""lon"": 80.154959}]",662.81,2026-07-17 17:59:18+05:30,2026-07-17 17:52:24+05:30,1,SHIP_1055,17.3787,78.41571,13.133197,80.224386,2921,HIGH,2026-07-16 19:35:13+05:30,0.0
ASN_0055,83.9,t,61.2,16.260334,78.904268,2026-07-17 10:23:19+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,16.259216,78.899862,"[{""lat"": 17.369851, ""lon"": 78.464101}, {""lat"": 16.347904, ""lon"": 78.897297}, {""lat"": 15.26663, ""lon"": 79.353094}, {""lat"": 14.266953, ""lon"": 79.718973}, {""lat"": 13.110332, ""lon"": 80.154959}]",662.81,2026-07-17 17:59:18+05:30,2026-07-17 17:52:24+05:30,2,SHIP_1055,17.3787,78.41571,13.133197,80.224386,2921,HIGH,2026-07-16 19:35:13+05:30,0.0
ASN_0055,83.9,t,67.1,15.49338,79.220403,2026-07-17 12:13:57+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,15.489456,79.205552,"[{""lat"": 17.369851, ""lon"": 78.464101}, {""lat"": 16.347904, ""lon"": 78.897297}, {""lat"": 15.26663, ""lon"": 79.353094}, {""lat"": 14.266953, ""lon"": 79.718973}, {""lat"": 13.110332, ""lon"": 80.154959}]",662.81,2026-07-17 17:59:18+05:30,2026-07-17 17:52:24+05:30,3,SHIP_1055,17.3787,78.41571,13.133197,80.224386,2921,HIGH,2026-07-16 19:35:13+05:30,0.0
ASN_0055,83.9,t,70.9,14.991823,79.419129,2026-07-17 13:26:38+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,14.996025,79.402569,"[{""lat"": 17.369851, ""lon"": 78.464101}, {""lat"": 16.347904, ""lon"": 78.897297}, {""lat"": 15.26663, ""lon"": 79.353094}, {""lat"": 14.266953, ""lon"": 79.718973}, {""lat"": 13.110332, ""lon"": 80.154959}]",662.81,2026-07-17 17:59:18+05:30,2026-07-17 17:52:24+05:30,4,SHIP_1055,17.3787,78.41571,13.133197,80.224386,2921,HIGH,2026-07-16 19:35:13+05:30,0.0
ASN_0095,24.6,t,66.4,20.749297,84.379272,2026-07-17 21:50:15+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,20.774114,84.376247,"[{""lat"": 20.229965, ""lon"": 85.856601}, {""lat"": 21.700681, ""lon"": 81.68591}, {""lat"": 23.164915, ""lon"": 77.502645}]",1220.83,2026-07-18 14:27:42+05:30,2026-07-18 14:06:25+05:30,1,SHIP_1095,20.241941,85.837317,23.202473,77.50397,642,LOW,2026-07-21 16:24:28+05:30,5434.2069560499995
ASN_0095,24.6,t,35.3,21.812448,81.443135,2026-07-18 04:49:27+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,21.813687,81.43607,"[{""lat"": 20.229965, ""lon"": 85.856601}, {""lat"": 21.700681, ""lon"": 81.68591}, {""lat"": 23.164915, ""lon"": 77.502645}]",1220.83,2026-07-18 14:27:42+05:30,2026-07-18 14:06:25+05:30,2,SHIP_1095,20.241941,85.837317,23.202473,77.50397,642,LOW,2026-07-21 16:24:28+05:30,5015.010999383333
ASN_0095,24.6,t,53.2,22.517786,79.504109,2026-07-18 09:22:21+05:30,,,,ON_DUTY,VEH_001,RJ77A5713,3500,22.515601,79.505775,"[{""lat"": 20.229965, ""lon"": 85.856601}, {""lat"": 21.700681, ""lon"": 81.68591}, {""lat"": 23.164915, ""lon"": 77.502645}]",1220.83,2026-07-18 14:27:42+05:30,2026-07-18 14:06:25+05:30,3,SHIP_1095,20.241941,85.837317,23.202473,77.50397,642,LOW,2026-07-21 16:24:28+05:30,4742.10839815
